price,salon,room,sittingArea,gatheringRoom,storageRoom,kitchen,publicBathroom,workersHouse,numberOfRooms
49546950.0,1,1,1,1,1,1,1,1,2.0
14000000.0,1,1,1,1,1,1,1,1,3.0
38000000.0,1,1,1,1,1,1,1,1,5.0
38483849.0,1,1,1,1,1,1,1,1,4.0
21000000.0,1,1,1,1,1,1,1,1,2.0
27000000.0,1,1,1,1,1,1,1,1,3.0
2200000.0,1,1,1,1,1,1,1,1,3.0
450000.0,1,1,1,1,1,1,1,1,3.0
1300000.0,1,1,1,1,1,1,1,1,2.0
100000.0,1,1,1,1,1,1,1,1,3.0
19000000.0,1,1,1,1,1,1,1,1,2.0
12000000.0,1,1,1,1,1,1,1,1,4.0
14900000.0,1,1,1,1,1,1,1,1,4.0
2800000.0,1,1,1,1,1,1,1,1,3.0
118800.0,1,1,1,1,1,1,1,1,5.0
12000000.0,1,1,1,1,1,1,1,1,3.0
17000000.0,1,1,1,1,1,1,1,1,2.0
49299274.0,1,1,1,1,1,1,1,1,3.0
100000.0,1,1,1,1,1,1,1,1,2.0
120000.0,1,1,1,1,1,1,1,1,2.0
200000.0,1,1,1,1,1,1,1,1,2.0
100000.0,1,1,1,1,1,1,1,1,2.0
130000.0,1,1,1,1,1,1,1,1,2.0
32969678.0,1,1,1,1,1,1,1,1,3.0
49274547.0,1,1,1,1,1,1,1,1,1.0
123500.0,1,1,1,1,1,1,1,1,5.0
400000.0,1,1,1,1,1,1,1,1,2.0
800000.0,1,1,1,1,1,1,1,1,2.0
350000.0,1,1,1,1,1,1,1,1,3.0
47344235.0,1,1,1,1,1,1,1,1,3.0
19000000.0,1,1,1,1,1,1,1,1,2.0
100000.0,1,1,1,1,1,1,1,1,3.0
14000000.0,1,1,1,1,1,1,1,1,3.0
33426666.0,1,1,1,1,1,1,1,1,3.0
400000.0,1,1,1,1,1,1,1,1,4.0
34241172.22,1,1,1,1,1,1,1,1,2.0
150000.0,1,1,1,1,1,1,1,1,2.0
33426666.0,1,1,1,1,1,1,1,1,3.0
200000.0,1,1,1,1,1,1,1,1,6.0
27382323.0,1,1,1,1,1,1,1,1,4.0
30000000.0,1,1,1,1,1,1,1,1,4.0
33426666.0,1,1,1,1,1,1,1,1,3.0
250000.0,1,1,1,1,1,1,1,1,3.0
8000000.0,1,1,1,1,1,1,1,1,5.0
